,縣市,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,車位數,總樓層數temp,總樓層數-轉換
3,台北市,中正區,房地(土地+建物),臺北市中正區羅斯福路三段１３６號十七樓,29.11,商,,,1110118,土地2建物1車位0,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100520,301.13,4,2,3,有,有,107700000,357653,,0.0,0,,RPSNMLQLJHHGFAA27DA,180.09,7.76,20.18,有,,0.0,二十二,22
6,台北市,萬華區,房地(土地+建物),臺北市萬華區水源路２０７之７號三樓,26.65,住,,,1101203,土地2建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861023,152.72,3,2,2,有,有,17850000,116881,,0.0,0,陽台外推；其他增建；,RPUNMLQLJHHGFBA57DA,76.66,0.0,14.53,有,,0.0,十六,16
7,台北市,萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路二段２３號十五樓,8.57,商,,,1101126,土地2建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,110.41999999999999,2,2,1,有,有,20060000,205128,坡道機械,19.94,1500000,買賣價格含直興段二小段1516及1517建號各持分451/100000,RPWOMLQLJHHGFBA87DA,53.82,3.16,3.89,有,,1.0,二十四,24
13,台北市,中山區,房地(土地+建物),臺北市中山區建國北路一段１５０號三樓之８,6.63,住,,,1101204,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990318,51.2,0,1,1,有,有,14600000,285156,,0.0,0,陽台外推；夾層；其他增建；,RPSOMLRJJHHGFCA47DA,26.42,2.94,4.48,有,,0.0,十三,13
35,台北市,中山區,房地(土地+建物),臺北市中山區中山北路一段１２１巷３３號九樓之１,7.3,商,,,1101221,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,69.14,1,1,1,有,有,17000000,245878,,0.0,0,,RPWSMLPJJHHGFCA18EA,40.56,1.36,4.97,有,10.0,0.0,十四,14
54,台北市,信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４７３號十三樓,18.79,商,,,1101211,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,188.5,4,2,2,有,有,59800000,363032,坡道平面,32.04,3000000,,RPWOMLRLJHHGFDA18DA,95.14,4.57,12.76,有,,1.0,十五,15
55,台北市,信義區,房地(土地+建物),臺北市信義區松勤街９號八樓之１３,6.19,都市：其他:特定業務區(信義計畫特定專用區)。,,,1110101,土地1建物1車位0,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0961225,49.629999999999995,1,1,1,有,有,19880000,400483,,0.0,0,,RPXOMLRKJHHGFDA18DA,32.18,1.08,0.07,有,,0.0,十九,19
58,台北市,中山區,房地(土地+建物)+車位,臺北市中山區長安東路一段２２之２號四樓,32.0,商,,,1101202,土地2建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960904,294.38,3,2,2,有,有,58580000,238794,坡道平面,74.18,6000000,陽台外推；其他增建；,RPRNMLSKJHHGFCA47DA,124.69,5.33,12.2,有,17.0,2.0,十四,14
62,台北市,萬華區,房地(土地+建物),臺北市萬華區成都路１５７號五樓之３,3.22,都市：其他:第四種商業區。,,,1101128,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960622,43.19,1,1,1,有,有,8750000,202593,,0.0,0,夾層；其他增建；,RPRNMLMKJHHGFBA76DA,23.63,0.0,4.94,有,19.0,0.0,十四,14
63,台北市,中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷８號九樓,22.75,住,,,1090724,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,166.42000000000002,3,2,2,有,有,35900000,236015,坡道平面,24.48,2400000,預售屋、或土地及建物分件登記案件；,RPSPMLRKJHHGFAA47DA,76.68,3.63,5.23,有,,1.0,十四,14
